epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
123,5267.86,1.66524,0.90635,0.96031,0.66833,0.59315,0.62171,0.37669,1.61707,0.87074,0.94497,0.37669,0.00349025,0.00349025,0.00349025
124,5361.53,1.65705,0.90628,0.95619,0.66709,0.59663,0.62348,0.37729,1.61402,0.86869,0.94426,0.37729,0.00347788,0.00347788,0.00347788
125,5455.89,1.67008,0.90728,0.95846,0.67289,0.59495,0.62332,0.37787,1.61124,0.86674,0.9437,0.37787,0.0034655,0.0034655,0.0034655
126,5549.29,1.65739,0.9005,0.96055,0.67161,0.59835,0.62509,0.37829,1.60862,0.86485,0.94294,0.37829,0.00345313,0.00345313,0.00345313
127,5642.95,1.65209,0.89706,0.95663,0.67333,0.59934,0.62563,0.37902,1.60614,0.86269,0.94248,0.37902,0.00344075,0.00344075,0.00344075
128,5737.2,1.64749,0.89396,0.95673,0.67433,0.6006,0.62654,0.37947,1.60431,0.86053,0.94193,0.37947,0.00342838,0.00342838,0.00342838
129,5833.33,1.6364,0.88813,0.95215,0.67307,0.60051,0.6267,0.38054,1.60187,0.85875,0.94122,0.38054,0.003416,0.003416,0.003416
130,5889.74,1.63536,0.88571,0.9514,0.67394,0.60198,0.62767,0.38134,1.59951,0.85691,0.94071,0.38134,0.00340363,0.00340363,0.00340363
131,5991.22,1.63847,0.89254,0.95706,0.67453,0.60174,0.62843,0.3818,1.59699,0.85524,0.94008,0.3818,0.00339125,0.00339125,0.00339125
132,6085.58,1.63555,0.88639,0.94878,0.67402,0.60407,0.62951,0.3828,1.5952,0.85345,0.9395,0.3828,0.00337887,0.00337887,0.00337887
133,6191.19,1.62669,0.88235,0.95213,0.67538,0.60411,0.63038,0.38339,1.59273,0.8511,0.93873,0.38339,0.0033665,0.0033665,0.0033665
134,6291.26,1.62257,0.88016,0.95034,0.67274,0.60739,0.63074,0.3844,1.59051,0.84905,0.93827,0.3844,0.00335412,0.00335412,0.00335412
135,6398.23,1.63526,0.87956,0.94909,0.67314,0.60798,0.63153,0.3854,1.5882,0.84721,0.93776,0.3854,0.00334175,0.00334175,0.00334175
136,6505.76,1.62954,0.87938,0.94687,0.67529,0.60936,0.63256,0.38629,1.58661,0.84581,0.93728,0.38629,0.00332937,0.00332937,0.00332937
137,6613.14,1.62117,0.8768,0.94738,0.6754,0.61028,0.63306,0.38704,1.58363,0.84381,0.93663,0.38704,0.003317,0.003317,0.003317
