200      7.06G      0.949     0.4893     0.9285        461        640: 20% ━━────────── 116/563 9.0it/s 12.8s<49.6s
[K    200/200      7.06G     0.9518     0.4962      0.927        600        640: 62% ━━━━━━━───── 351/563 9.1it/s 39.9s<23.4s
[K    200/200      7.06G      0.952     0.4962     0.9271        424        640: 62% ━━━━━━━╸──── 353/563 8.9it/s 40.2s<23.5s
[K    200/200      7.06G     0.9521     0.4962     0.9271        469        640: 62% ━━━━━━━╸──── 354/563 8.6it/s 40.3s<24.3s
[K    200/200      7.06G      0.952     0.4961     0.9271        661        640: 63% ━━━━━━━╸──── 355/563 8.5it/s 40.4s<24.5s
[K    200/200      7.06G     0.9521     0.4961     0.9271        595        640: 63% ━━━━━━━╸──── 356/563 8.7it/s 40.5s<23.7s
[K    200/200      7.06G     0.9519     0.4962     0.9271        287        640: 63% ━━━━━━━╸──── 357/563 8.5it/s 40.6s<24.4s
[K    200/200      7.06G     0.9518     0.4962     0.9271        539        640: 63% ━━━━━━━╸──── 358/563 8.2it/s 40.8s<25.1s
[K    200/200      7.06G     0.9516     0.4962     0.9271        516        640: 63% ━━━━━━━╸──── 359/563 8.0it/s 40.9s<25.5s
[K    200/200      7.06G     0.9514     0.4961     0.9271        516        640: 63% ━━━━━━━╸──── 360/563 8.3it/s 41.0s<24.5s
[K    200/200      7.06G     0.9511     0.4959      0.927        359        640: 64% ━━━━━━━╸──── 361/563 7.6it/s 41.2s<26.6s
[K    200/200      7.06G     0.9512      0.496     0.9269        560        640: 64% ━━━━━━━╸──── 362/563 7.8it/s 41.3s<25.7s
[K    200/200      7.06G     0.9511     0.4959     0.9269        421        640: 64% ━━━━━━━╸──── 363/563 8.0it/s 41.4s<24.9s
