dataset,split,fixed_stratum,condition_index,dx_input_px,dy_input_px,linf_px,l2_px,fixed_n,teacher_unclamped_support_n,iou_advantage_mean,teacher_minus_native_ce_mean,teacher_ce_better_fraction,kl_t2_mean4_mean,cosine_mean,positive_cosine_fraction_fixed,original_quality_gate_n,original_quality_gate_survived_n,original_quality_gate_survival_fraction,new_quality_gate_members_n,lost_mass_t1_mean4_mean,lost_mass_t2_mean4_mean,conditional_vs_exact_box_max_abs_px_mean,conditional_vs_exact_box_max_abs_px_max
dronevehicle,train,n_iou_lt_070,2,-1,0,1,1.0,366,366,0.12608420659041805,-0.3807334638848969,0.7978142076502732,0.9881990857040394,0.5700151780110915,0.9207650273224044,87,84,0.9655172413793104,6,0.0019064332354652084,0.0024560057082595433,0.11705042985036476,0.987664457512949
dronevehicle,train,quality_gate070,2,-1,0,1,1.0,87,87,0.1762748502087433,-0.5985692723978283,0.9655172413793104,1.101242444456177,0.7462002703451046,1.0,87,84,0.9655172413793104,0,0.0013877314567363513,0.0019163860382424365,0.07441023725797596,0.8706443914866782
dronevehicle,val,base,2,-1,0,1,1.0,2821,2821,-0.041118507864607905,0.13279667650967242,0.337468982630273,0.6825329796401246,0.19556230602501823,0.6391350584898972,47,47,1.0,2,0.0010606763505621904,0.0015038171599089825,0.061736406011676744,1.1015837834499393
dronevehicle,val,n_iou_lt_070,2,-1,0,1,1.0,229,229,0.12579239938721615,-0.4060074425299951,0.8209606986899564,0.9338673075918463,0.5728032349734955,0.9213973799126638,47,47,1.0,2,0.0011874698051386825,0.0016958190565442841,0.07871288254387315,0.9951510965826742
dronevehicle,val,quality_gate070,2,-1,0,1,1.0,47,47,0.21849149788347869,-0.6557171269736158,0.9787234042553191,1.1330286431158296,0.7772280716900162,1.0,47,47,1.0,0,0.00022997115473608718,0.0006172082999168346,0.02039789306533937,0.6832565702393936
dronevehicle,train,base,3,0,1,1,1.0,15019,15019,-0.058030528021005695,0.1580626691833729,0.27418603102736533,0.5898541427032121,0.1503501615397059,0.6162194553565483,87,81,0.9310344827586207,3,0.0011813242855770812,0.0015900526618279444,0.06824360920265499,1.0262290337910969
dronevehicle,train,n_iou_lt_070,3,0,1,1,1.0,366,366,0.12425729202320983,-0.4020926204402146,0.8032786885245902,0.9514288663869144,0.5665592251559812,0.912568306010929,87,81,0.9310344827586207,3,0.0018673619572569166,0.0024460136433282864,0.11382710646769532,0.972429192485194
dronevehicle,train,quality_gate070,3,0,1,1,1.0,87,87,0.16559545255239508,-0.5979887912420959,0.9655172413793104,1.0555795074991,0.743202572244374,1.0,87,81,0.9310344827586207,0,0.001565173628871197,0.0022694248829365975,0.08782020123326484,0.972429192485194
dronevehicle,val,base,3,0,1,1,1.0,2821,2821,-0.036499714410111676,0.10743543961938411,0.3427862460120525,0.6609672040283457,0.19804919361563397,0.6377171215880894,47,46,0.9787234042553191,2,0.0010054250966344265,0.0014321324356274155,0.0600216696230172,0.9851201058350512
dronevehicle,val,n_iou_lt_070,3,0,1,1,1.0,229,229,0.1253914975393919,-0.4160277985384097,0.7991266375545851,0.9819816584815875,0.5703737386952739,0.9170305676855895,47,46,0.9787234042553191,2,0.0015502531866793106,0.002113653672870117,0.09908022941198256,0.9732549334955252
